Year		Days with AQI	Good Days	Moderate Days	Unhealthy for Sensitive Groups Days	Unhealthy Days	Very Unhealthy Days	Hazardous Days	Max AQI	90th Percentile AQI	Median AQI	Days CO	Days NO2	Days Ozone	Days PM2.5	Days PM10	Total Average Percentage of EV Sales	Total Average Percentage of Vehicle Sales	Total Average Percentage of Non-EV Vehicle Sales
2010	AK	262.125	222.0	35.0	4.125	1.0	0.0	0.0	88.5	44.875	19.75	2.375	0.0	59.375	191.0	9.375	0.045111826982829166	2.9030441627369803	2.857932335754151
2010	AL	282.2631578947368	164.89473684210526	113.05263157894737	4.0	0.3157894736842105	0.0	0.0	112.26315789473684	70.3157894736842	46.1578947368421	0.05263157894736842	0.0	131.05263157894737	142.26315789473685	8.894736842105264	0.037186254384561836	3.168791693936107	3.131605439551545
2010	AR	208.23529411764707	138.52941176470588	67.3529411764706	2.235294117647059	0.11764705882352941	0.0	0.0	100.0	63.94117647058823	43.705882352941174	0.0	2.9411764705882355	110.3529411764706	94.94117647058823	0.0	0.04918869243036895	3.48272388010183	3.433535187671461
2010	AZ	309.53846153846155	199.07692307692307	102.23076923076923	7.923076923076923	0.15384615384615385	0.0	0.15384615384615385	233.46153846153845	70.38461538461539	42.92307692307692	0.0	5.615384615384615	191.23076923076923	22.76923076923077	89.92307692307692	0.08373759176784494	2.5724699133060507	2.4887323215382056
2010	CA	350.39622641509436	221.9433962264151	102.33962264150944	19.88679245283019	5.320754716981132	0.4716981132075472	0.4339622641509434	305.60377358490564	80.60377358490567	45.301886792452834	0.1509433962264151	8.90566037735849	222.54716981132074	105.94339622641509	12.849056603773585	0.2174010796643374	3.143888401403017	2.9264873217386795
2010	CO	275.125	197.46875	72.25	5.125	0.28125	0.0	0.0	118.21875	60.78125	36.5	0.78125	7.1875	177.875	21.1875	68.09375	0.0841599594839887	2.971371179458155	2.887211219974166
2010	CT	313.625	238.25	63.625	10.625	1.125	0.0	0.0	152.625	74.125	39.75	2.875	24.375	208.25	78.125	0.0	0.17233854871174345	4.435339077376359	4.263000528664615
2010	DE	325.3333333333333	190.66666666666666	112.66666666666667	18.0	4.0	0.0	0.0	168.0	91.33333333333333	46.666666666666664	0.0	4.0	233.66666666666666	87.66666666666667	0.0	0.13391834869839905	4.345972779206874	4.212054430508474
2010	FL	346.8918918918919	264.9189189189189	79.94594594594595	1.864864864864865	0.16216216216216217	0.0	0.0	112.16216216216216	58.648648648648646	40.351351351351354	0.0	0.8378378378378378	215.7027027027027	120.24324324324324	10.108108108108109	0.10017901457228927	3.662858180645204	3.5626791660729147
2010	GA	294.6875	169.78125	120.6875	3.6875	0.5	0.03125	0.0	131.5625	71.34375	46.3125	0.125	4.46875	112.21875	176.40625	1.46875	0.052046763290528646	3.1813360980644427	3.129289334773914
2010	HI	357.6666666666667	221.66666666666666	130.66666666666666	4.333333333333333	1.0	0.0	0.0	128.0	58.333333333333336	40.333333333333336	0.0	0.3333333333333333	28.0	326.3333333333333	3.0	0.12052467573941512	2.3357984120821067	2.2152737363426915
2010	IA	266.6	182.4	80.95	3.1	0.15	0.0	0.0	107.5	62.95	39.4	0.0	0.4	88.9	140.05	37.25	0.06294333688679941	3.4621724872790547	3.399229150392255
2010	ID	272.5882352941176	228.41176470588235	41.294117647058826	2.7058823529411766	0.17647058823529413	0.0	0.0	98.23529411764706	50.11764705882353	28.176470588235293	0.0	0.9411764705882353	46.94117647058823	180.1764705882353	44.529411764705884	0.0675833124768286	2.458425347701042	2.390842035224213
2010	IL	327.64	241.92	81.2	4.4	0.12	0.0	0.0	110.6	63.4	40.24	1.8	4.4	228.04	87.0	6.4	0.07921972017743975	4.003269097715575	3.924049377538135
2010	IN	240.81578947368422	136.78947368421052	99.92105263157895	4.052631578947368	0.05263157894736842	0.0	0.0	112.92105263157895	75.3157894736842	47.5	0.47368421052631576	1.0263157894736843	119.36842105263158	119.10526315789474	0.8421052631578947	0.07471653053473847	3.567447995719101	3.4927314651843626
2010	KS	284.64285714285717	229.28571428571428	52.857142857142854	2.5	0.0	0.0	0.0	103.0	55.642857142857146	33.357142857142854	0.0	7.0	191.57142857142858	45.785714285714285	40.285714285714285	0.05056951398001109	3.2854910691525174	3.234921555172506
2010	KY	284.03125	187.25	91.34375	5.3125	0.125	0.0	0.0	116.40625	70.71875	43.84375	0.3125	2.34375	192.8125	85.6875	2.875	0.053047147081875475	3.465485560824679	3.4124384137428034
2010	LA	321.0869565217391	216.6086956521739	96.91304347826087	7.217391304347826	0.34782608695652173	0.0	0.0	127.17391304347827	68.56521739130434	42.17391304347826	0.0	3.0869565217391304	201.47826086956522	116.3913043478261	0.13043478260869565	0.03212229123260653	3.7923928260264836	3.760270534793877
2010	MA	326.9166666666667	247.33333333333334	73.25	5.75	0.5833333333333334	0.0	0.0	145.08333333333334	65.16666666666667	38.75	0.16666666666666666	8.75	186.25	131.5	0.25	0.23605910919841758	4.949111099423358	4.71305199022494
2010	MD	296.3125	175.1875	102.125	16.125	2.75	0.125	0.0	173.4375	89.3125	46.375	0.1875	5.6875	203.25	87.1875	0.0	0.15953996784587404	4.430112711426621	4.270572743580747
2010	ME	307.25	279.5833333333333	25.5	1.5833333333333333	0.5833333333333334	0.0	0.0	125.5	48.5	34.083333333333336	0.0	1.6666666666666667	232.75	68.75	4.083333333333333	0.1404992169081214	4.462469973269181	4.321970756361059
